age,job,education,balance,duration,campaign,approval
41.0,1,0,168,187.0,3,0
37.0,1,0,0,24.0,1,0
43.0,1,3,-715,67.0,3,0
48.0,0,3,0,85.0,1,0
27.0,9,1,769,317.0,2,0
33.0,4,2,0,-98.0,10,0
29.0,0,1,428,54.0,1,0
34.0,4,2,0,71.0,1,0
52.0,4,2,-970,489.0,1,1
60.0,4,3,6313,39.0,2,0
32.0,4,2,948,204.0,2,0
32.0,4,2,0,455.0,2,0
56.0,7,3,1877,86.0,1,0
31.0,4,2,874,190.0,2,0
42.0,0,1,323,280.0,2,0
35.0,4,2,106,588.0,2,0
56.0,5,0,1906,45.0,9,0
48.0,9,1,1152,168.0,5,0
46.0,0,1,179,194.0,4,0
37.0,9,3,391,103.0,3,0
41.0,2,3,89,333.0,2,0
36.0,4,2,442,102.0,3,0
45.0,10,0,-249,92.0,1,0
55.0,2,1,8104,213.0,2,0
39.0,9,1,501,289.0,1,0
35.0,9,1,308,77.0,2,0
55.0,0,1,602,324.0,3,1
55.0,9,1,273,84.0,3,0
27.0,6,1,50,168.0,1,0
34.0,9,1,1641,380.0,1,0
34.0,1,2,20,10.0,1,0
25.0,0,1,4590,199.0,2,0
41.0,0,1,-256,-35.0,3,0
43.0,7,1,978,82.0,2,0
28.0,4,2,80,676.0,2,1
31.0,0,1,2104,455.0,1,0
78.0,3,1,499,80.0,4,0
45.0,1,1,1269,549.0,2,0
48.0,9,2,310,135.0,1,0
32.0,1,1,1143,412.0,1,0
42.0,9,1,2980,101.0,3,0
37.0,4,2,37,253.0,2,0
40.0,0,1,462,272.0,1,0
32.0,0,1,1031,84.0,1,0
42.0,4,2,9009,135.0,2,0
43.0,0,1,-465,166.0,1,0
44.0,0,1,5181,18.0,7,0
37.0,0,1,176,147.0,2,0
37.0,11,3,1699,63.0,1,0
37.0,0,2,0,65.0,2,0
28.0,9,2,172,194.0,2,0
32.0,7,1,0,333.0,2,0
34.0,0,1,6979,14.0,5,0
40.0,0,1,6,140.0,1,0
34.0,7,1,-62,109.0,3,0
34.0,6,2,1972,61.0,2,0
34.0,0,2,899,377.0,3,0
37.0,7,1,21,96.0,1,0
36.0,9,1,23,152.0,2,0
56.0,5,1,-1206,382.0,2,1
49.0,1,0,0,97.0,6,0
33.0,6,1,215,543.0,12,0
30.0,4,2,1372,240.0,2,0
36.0,7,1,1981,48.0,2,0
23.0,8,1,9216,471.0,2,0
57.0,5,1,39,354.0,3,0
27.0,1,1,5563,435.0,2,0
38.0,7,1,1,152.0,2,0
42.0,9,2,782,285.0,1,0
75.0,5,1,3771,185.0,1,1
34.0,9,2,992,301.0,1,0
48.0,9,1,1526,273.0,2,0
35.0,9,2,2658,768.0,2,1
39.0,4,2,1315,1337.0,4,0
29.0,1,2,455,403.0,1,1
45.0,9,2,0,139.0,2,0
42.0,9,1,2030,196.0,1,0
29.0,9,1,1599,115.0,1,0
38.0,7,1,-196,60.0,1,0
56.0,5,1,1333,17.0,14,0
36.0,9,1,9149,141.0,3,0
25.0,1,1,-350,95.0,3,0
38.0,9,2,432,10.0,2,0
57.0,6,1,11494,198.0,1,0
31.0,4,2,-253,220.0,4,0
42.0,4,2,372,654.0,2,1
45.0,9,1,1410,71.0,2,0
30.0,1,1,975,256.0,2,0
49.0,1,0,305,834.0,10,0
49.0,7,1,400,151.0,3,0
53.0,5,2,-22,20.0,3,0
37.0,9,1,4030,178.0,5,0
49.0,1,0,365,59.0,2,0
41.0,6,0,204,111.0,7,0
54.0,4,0,1691,186.0,1,0
32.0,7,1,406,227.0,1,0
33.0,9,1,-204,297.0,3,0
33.0,9,1,359,210.0,1,0
36.0,1,0,123,9.0,1,0
35.0,9,2,0,112.0,1,0
52.0,11,1,142,112.0,6,0
40.0,2,2,3571,222.0,3,0
44.0,9,1,33,195.0,3,0
45.0,1,1,0,768.0,2,0
30.0,8,1,3096,123.0,1,0
48.0,9,1,20,145.0,3,0
33.0,1,1,3576,124.0,1,0
57.0,9,3,206,216.0,3,0
57.0,3,0,7082,69.0,3,0
51.0,10,2,1634,168.0,4,0
34.0,0,1,1,483.0,7,0
50.0,6,2,4012,690.0,3,0
44.0,4,2,3762,125.0,12,0
27.0,0,1,-247,344.0,2,0
50.0,1,1,606,673.0,2,0
36.0,4,2,0,60.0,1,0
42.0,4,1,-189,247.0,2,0
32.0,10,1,0,123.0,2,0
42.0,4,2,484,144.0,2,0
43.0,9,1,0,9.0,2,0
31.0,4,2,395,155.0,3,0
32.0,4,2,2349,134.0,5,0
55.0,1,0,410,221.0,2,0
58.0,5,0,3401,84.0,3,0
46.0,1,0,222,71.0,2,0
55.0,1,1,989,246.0,4,0
34.0,4,2,415,361.0,2,0
28.0,10,1,16,119.0,4,0
42.0,9,2,7190,375.0,2,0
29.0,1,1,482,1097.0,3,1
54.0,3,1,209,97.0,1,0
32.0,9,1,0,181.0,2,0
39.0,9,2,5803,83.0,3,0
53.0,2,2,624,180.0,4,0
58.0,9,2,883,543.0,1,0
40.0,6,1,1516,373.0,1,0
29.0,8,1,872,230.0,1,0
33.0,9,2,-988,83.0,3,0
38.0,0,1,902,58.0,13,0
56.0,7,1,1007,88.0,6,0
40.0,7,1,0,297.0,1,0
24.0,1,1,174,487.0,1,1
46.0,4,1,12186,29.0,3,0
35.0,6,1,524,484.0,4,0
35.0,1,2,0,262.0,4,0
34.0,9,1,4,644.0,1,0
35.0,3,2,11219,699.0,2,0
38.0,9,2,0,247.0,2,0
50.0,1,0,5776,49.0,3,0
51.0,1,0,37,341.0,1,0
59.0,6,2,593,64.0,2,0
32.0,1,1,1148,121.0,1,0
37.0,1,1,3561,98.0,1,0
42.0,0,1,63,88.0,6,0
40.0,8,1,260,197.0,6,0
28.0,9,2,2269,331.0,1,0
47.0,0,1,1060,83.0,3,0
27.0,6,1,-220,138.0,2,0
41.0,4,2,49,312.0,5,0
34.0,0,2,69,120.0,3,1
50.0,1,0,4108,526.0,2,1
47.0,1,1,480,211.0,2,0
53.0,7,1,4994,62.0,6,0
53.0,9,1,0,135.0,5,0
47.0,4,2,3681,101.0,2,0
49.0,2,3,-701,988.0,2,1
29.0,4,2,451,451.0,1,0
45.0,1,0,-311,1030.0,1,1
38.0,2,1,593,1484.0,24,1
32.0,1,1,759,317.0,5,1
70.0,5,0,4531,445.0,1,0
65.0,5,0,1840,383.0,2,0
56.0,1,1,345,605.0,1,0
35.0,1,1,1287,330.0,2,0
56.0,4,3,353,171.0,2,0
56.0,9,1,205,442.0,2,0
49.0,2,1,687,772.0,1,1
38.0,10,0,1147,249.0,5,0
35.0,4,2,4286,357.0,1,0
38.0,0,2,605,147.0,2,0
49.0,1,1,8545,199.0,7,0
55.0,4,3,559,271.0,2,0
43.0,1,0,2,783.0,3,0
43.0,4,2,2,472.0,2,0
25.0,0,2,760,223.0,3,1
30.0,1,0,1317,395.0,2,0
46.0,1,1,182,56.0,1,0
50.0,0,0,276,641.0,6,0
35.0,2,1,2971,429.0,4,1
26.0,10,1,1064,113.0,1,0
45.0,0,3,1783,11.0,11,0
37.0,1,1,-67,157.0,1,0
60.0,6,2,179,79.0,4,0
38.0,4,2,1199,178.0,1,1
47.0,1,0,214,168.0,1,0
33.0,9,1,6699,425.0,1,0
51.0,10,1,1760,162.0,1,0
35.0,2,2,145,-799.0,2,1
35.0,10,1,978,1370.0,3,1
48.0,0,1,1150,357.0,1,0
37.0,0,1,121,22.0,6,0
29.0,9,2,828,215.0,3,0
34.0,0,1,244,56.0,4,0
32.0,7,0,228,1017.0,6,1
30.0,4,2,424,298.0,4,1
47.0,4,2,447,126.0,1,0
33.0,1,0,-195,9.0,1,0
33.0,4,2,1410,8.0,1,0
63.0,5,0,1084,201.0,1,0
51.0,6,0,10924,106.0,2,0
41.0,4,2,832,164.0,1,0
56.0,5,2,478,97.0,1,0
60.0,4,2,0,151.0,1,0
41.0,6,2,3950,96.0,2,0
37.0,4,3,504,555.0,1,0
36.0,1,1,219,270.0,2,0
57.0,4,2,1602,339.0,3,0
55.0,4,0,2587,328.0,2,1
44.0,0,1,0,159.0,1,0
47.0,6,2,2303,323.0,2,0
31.0,1,1,1660,342.0,1,0
35.0,4,2,32,180.0,1,0
39.0,4,2,278,60.0,3,0
50.0,4,2,4,223.0,1,0
29.0,4,2,318,1434.0,2,0
30.0,7,1,209,30.0,2,0
46.0,7,1,271,134.0,4,0
27.0,4,3,3196,10.0,2,0
48.0,0,1,4099,397.0,2,1
26.0,8,1,2572,620.0,1,0
36.0,4,2,339,6.0,6,0
42.0,1,0,0,209.0,2,0
50.0,3,0,395,419.0,2,0
49.0,1,1,2039,283.0,2,0
45.0,4,2,5450,188.0,2,0
23.0,8,1,780,267.0,1,0
38.0,9,1,0,196.0,2,0
32.0,4,2,8436,245.0,1,0
60.0,9,0,11262,323.0,1,1
30.0,2,1,946,1065.0,1,0
58.0,3,2,497,138.0,5,0
60.0,5,0,55,207.0,1,0
38.0,7,1,-140,456.0,3,0
51.0,9,1,-379,261.0,1,0
42.0,0,1,-396,80.0,1,0
30.0,7,1,0,131.0,6,0
40.0,4,0,733,94.0,7,0
37.0,4,2,393,567.0,3,1
53.0,9,0,7290,153.0,1,0
27.0,7,1,468,109.0,1,0
39.0,1,1,0,53.0,1,0
39.0,1,0,3705,77.0,1,0
59.0,5,2,9676,234.0,2,1
37.0,7,1,1328,121.0,2,0
41.0,1,0,8,155.0,2,0
45.0,1,0,61,108.0,1,0
48.0,4,2,6613,159.0,3,0
48.0,9,1,302,208.0,3,0
32.0,1,1,1005,215.0,1,0
35.0,7,1,109,597.0,3,0
33.0,4,2,1240,505.0,2,0
28.0,1,0,0,380.0,4,0
64.0,5,3,2923,120.0,1,0
35.0,9,1,0,106.0,4,0
33.0,1,1,43,332.0,2,0
41.0,9,1,288,221.0,4,0
34.0,0,1,613,80.0,1,0
37.0,9,2,6101,60.0,5,0
38.0,1,0,168,212.0,3,0
39.0,1,0,7685,493.0,3,0
35.0,9,2,4515,98.0,2,0
28.0,1,1,517,681.0,1,1
27.0,1,1,148,203.0,1,0
48.0,5,0,-285,157.0,1,0
50.0,1,1,887,287.0,1,0
45.0,6,1,3098,159.0,2,0
41.0,9,2,744,125.0,1,0
39.0,9,1,130,202.0,2,0
44.0,4,1,438,37.0,3,0
54.0,0,1,0,161.0,1,1
49.0,4,2,322,72.0,4,0
34.0,1,1,186,342.0,1,0
75.0,5,2,3810,262.0,1,1
42.0,4,2,0,325.0,2,0
53.0,1,1,4380,223.0,7,0
49.0,4,2,755,1212.0,4,1
31.0,7,1,2070,319.0,2,0
45.0,1,0,999,182.0,2,0
39.0,6,1,167,330.0,1,0
46.0,9,1,1322,514.0,1,0
42.0,0,1,1076,213.0,1,0
37.0,4,2,502,551.0,1,0
26.0,9,2,1216,472.0,2,0
37.0,4,2,876,140.0,4,0
36.0,7,1,342,142.0,1,0
29.0,1,0,950,135.0,3,0
36.0,1,0,973,293.0,1,0
26.0,9,2,3825,107.0,1,0
32.0,1,1,2366,127.0,2,0
40.0,4,2,542,1816.0,1,0
53.0,4,0,995,200.0,3,0
29.0,4,2,20,418.0,1,0
34.0,9,2,228,387.0,4,0
43.0,1,1,130,156.0,1,0
56.0,4,2,217,121.0,2,0
55.0,2,2,0,108.0,2,0
31.0,6,2,259,47.0,1,0
27.0,0,1,619,16.0,5,0
36.0,4,1,644,54.0,2,0
44.0,4,2,22,265.0,2,0
37.0,0,2,4303,168.0,1,0
30.0,0,1,239,115.0,3,0
42.0,9,1,275,31.0,8,0
30.0,4,2,1221,279.0,4,1
62.0,5,1,816,28.0,2,0
24.0,1,1,1222,369.0,1,0
31.0,9,1,2363,247.0,1,0
66.0,5,2,2262,155.0,1,0
47.0,0,1,2,89.0,1,0
39.0,2,2,2,180.0,1,0
35.0,9,1,4508,854.0,1,1
35.0,0,1,-402,46.0,1,0
27.0,9,1,1577,266.0,2,0
32.0,1,1,34,321.0,2,0
44.0,4,2,795,99.0,24,0
42.0,1,1,117,147.0,1,0
34.0,6,2,5462,430.0,1,1
25.0,7,1,402,264.0,1,0
40.0,9,1,641,156.0,6,0
43.0,4,2,36,118.0,1,0
55.0,10,2,383,343.0,3,0
50.0,1,1,283,226.0,3,0
45.0,4,2,0,5.0,1,0
35.0,1,1,3102,138.0,1,0
32.0,1,1,889,185.0,1,1
59.0,3,1,0,722.0,1,0
34.0,6,1,-370,748.0,1,0
39.0,4,2,-606,142.0,1,0
40.0,4,1,10378,523.0,3,0
36.0,1,0,1313,8.0,10,0
40.0,4,2,8969,153.0,1,0
55.0,6,1,-196,210.0,2,0
38.0,2,1,15,121.0,1,0
61.0,0,1,4608,212.0,1,1
41.0,4,2,666,253.0,3,0
57.0,1,0,452,139.0,4,0
48.0,1,1,149,71.0,1,0
77.0,5,2,7802,421.0,1,1
35.0,7,1,1453,199.0,1,0
54.0,1,1,1480,108.0,1,0
37.0,4,3,715,247.0,2,0
56.0,4,1,237,236.0,4,0
40.0,9,1,694,97.0,4,0
40.0,4,2,0,109.0,8,0
54.0,4,2,55,112.0,2,0
55.0,3,0,136,15.0,10,0
55.0,7,1,-404,502.0,3,0
52.0,1,0,779,30.0,3,0
55.0,1,0,1187,193.0,2,0
33.0,4,2,641,347.0,2,0
52.0,1,3,826,468.0,2,0
33.0,7,1,991,148.0,1,0
53.0,0,1,1796,295.0,1,1
46.0,0,1,22,388.0,6,1
44.0,9,1,244,1735.0,4,1
48.0,4,2,1328,339.0,1,0
50.0,3,1,7317,172.0,1,0
34.0,9,1,4943,117.0,2,0
38.0,9,1,258,587.0,2,0
42.0,4,2,515,501.0,2,0
32.0,4,2,12607,203.0,5,0
58.0,0,1,2,282.0,9,0
31.0,4,2,13,110.0,5,0
19.0,8,0,103,104.0,2,1
41.0,4,2,3872,231.0,1,0
31.0,10,1,296,378.0,3,0
52.0,6,0,217,193.0,6,0
42.0,6,2,360,110.0,5,0
41.0,1,1,428,92.0,1,0
30.0,1,1,315,1407.0,1,1
38.0,1,1,121,168.0,1,0
32.0,4,2,820,738.0,3,0
52.0,9,1,195,220.0,1,1
48.0,4,2,108,89.0,2,0
36.0,4,2,-381,30.0,29,0
45.0,10,0,757,103.0,1,0
34.0,9,2,691,70.0,1,0
36.0,1,0,1925,904.0,2,1
34.0,4,2,902,159.0,1,0
61.0,5,1,5207,336.0,1,0
54.0,7,1,0,220.0,1,0
50.0,2,1,665,238.0,1,0
43.0,0,1,738,585.0,4,0
47.0,1,0,233,293.0,3,0
45.0,7,1,-839,68.0,1,0
57.0,5,0,5799,97.0,1,0
27.0,0,1,1033,1713.0,1,0
49.0,10,1,66,218.0,3,0
43.0,7,0,2567,109.0,1,0
40.0,4,2,1584,661.0,1,0
32.0,7,1,182,145.0,1,0
58.0,4,0,76,54.0,4,0
34.0,0,1,663,111.0,1,0
46.0,9,1,3455,566.0,2,0
29.0,1,1,15,136.0,1,0
52.0,1,0,1054,273.0,1,0
45.0,4,2,1529,160.0,1,0
26.0,4,1,63,76.0,4,0
40.0,9,2,0,44.0,1,0
41.0,0,1,920,239.0,1,0
47.0,0,1,3696,250.0,2,1
27.0,9,3,59,792.0,4,0
27.0,7,1,0,198.0,13,0
48.0,1,1,157,73.0,1,0
49.0,0,1,2465,157.0,3,0
35.0,1,0,0,90.0,6,0
47.0,6,1,2,236.0,2,0
54.0,4,2,0,118.0,5,0
39.0,4,2,12437,40.0,1,0
28.0,8,1,378,346.0,1,0
54.0,1,0,211,200.0,2,0
34.0,9,1,-228,187.0,3,0
63.0,5,1,2747,113.0,1,0
42.0,6,2,1932,192.0,32,0
43.0,9,1,11269,92.0,1,0
37.0,0,1,1314,682.0,2,0
55.0,1,0,2275,139.0,9,0
43.0,4,2,1304,501.0,2,1
41.0,1,1,720,651.0,1,1
47.0,9,1,2914,405.0,13,0
34.0,9,1,1464,350.0,1,0
28.0,8,1,11555,125.0,2,0
36.0,7,1,-302,36.0,2,0
50.0,9,1,2497,35.0,1,0
35.0,1,1,-339,389.0,2,0
40.0,9,1,56,194.0,1,0
26.0,6,2,211,168.0,3,0
36.0,4,2,3611,347.0,3,0
59.0,10,0,0,3025.0,2,0
28.0,8,1,459,83.0,13,0
46.0,2,3,242,332.0,2,0
50.0,6,1,1138,219.0,10,0
53.0,4,2,1319,427.0,1,0
81.0,5,1,1,65.0,5,0
35.0,7,1,67,192.0,2,0
58.0,5,3,937,155.0,1,0
44.0,7,1,0,161.0,1,0
38.0,4,2,-558,533.0,1,0
49.0,1,1,171,19.0,3,0
33.0,9,2,696,193.0,1,0
29.0,4,2,361,819.0,3,0
28.0,9,1,227,278.0,1,1
31.0,0,1,236,211.0,3,0
33.0,4,2,-53,617.0,2,0
52.0,9,1,192,61.0,2,0
43.0,4,2,38,197.0,6,0
32.0,6,1,518,34.0,7,0
36.0,6,2,16,95.0,4,0
41.0,1,1,-256,147.0,2,0
43.0,1,1,105,668.0,2,0
45.0,6,2,334,87.0,2,0
39.0,9,1,1048,405.0,1,0
41.0,7,1,108,83.0,7,0
31.0,9,1,660,115.0,1,0
37.0,10,2,0,108.0,1,0
28.0,2,3,1034,113.0,1,0
47.0,3,0,201,58.0,2,0
37.0,3,0,189,148.0,4,0
60.0,5,3,-49,188.0,1,0
43.0,9,1,1413,75.0,3,0
58.0,5,2,264,523.0,3,0
52.0,2,2,54,103.0,1,0
50.0,1,0,12519,146.0,2,0
32.0,7,1,2881,356.0,1,1
42.0,1,0,0,71.0,1,0
31.0,0,1,88,189.0,2,0
28.0,1,1,1020,251.0,1,0
36.0,9,2,119,127.0,8,0
51.0,10,2,1594,197.0,1,0
46.0,9,2,342,84.0,1,0
50.0,7,1,72,141.0,2,0
32.0,1,1,14,171.0,1,0
26.0,2,2,81,262.0,3,0
41.0,6,2,231,352.0,2,1
39.0,9,2,1161,236.0,1,0
31.0,1,1,-45,184.0,1,0
28.0,4,2,231,568.0,2,0
31.0,4,1,36,105.0,2,0
30.0,9,2,1570,260.0,1,0
35.0,9,2,7050,222.0,3,1
33.0,1,0,3704,447.0,2,0
30.0,9,2,6619,239.0,8,0
32.0,1,1,-84,426.0,1,0
40.0,4,2,1509,333.0,1,0
31.0,6,2,1134,174.0,2,0
36.0,9,1,146,284.0,2,0
33.0,4,2,9449,428.0,1,0
57.0,5,1,374,236.0,1,0
45.0,9,1,88,150.0,2,0
59.0,4,2,2764,237.0,1,0
30.0,4,2,2,1031.0,8,1
33.0,9,2,8023,107.0,1,0
52.0,1,1,289,45.0,13,0
83.0,5,1,0,140.0,10,0
58.0,6,2,1382,700.0,1,1
33.0,4,2,280,155.0,1,0
41.0,1,0,2195,211.0,5,0
31.0,6,1,33,165.0,4,0
35.0,1,1,275,144.0,5,0
27.0,4,2,703,590.0,3,1
57.0,0,3,887,43.0,8,0
56.0,11,3,0,471.0,2,0
53.0,0,1,1178,295.0,2,0
39.0,4,2,2763,526.0,2,1
32.0,2,2,890,27.0,10,0
46.0,6,1,548,1181.0,4,1
56.0,9,2,272,103.0,2,0
46.0,4,2,6269,249.0,3,0
29.0,2,1,178,231.0,4,0
60.0,4,0,252,123.0,2,0
33.0,3,2,23663,199.0,2,0
27.0,2,2,81,197.0,1,0
50.0,6,2,59,67.0,2,0
45.0,7,1,1343,220.0,1,0
58.0,5,1,225,122.0,6,0
59.0,5,0,0,104.0,7,0
58.0,5,0,2538,307.0,6,0
64.0,5,0,43,117.0,1,0
47.0,9,1,57,253.0,1,0
40.0,4,2,-117,770.0,2,0
36.0,9,1,666,190.0,1,0
28.0,4,2,0,767.0,5,1
38.0,9,2,25,232.0,2,1
53.0,2,0,1034,854.0,2,0
46.0,1,1,324,293.0,6,0
54.0,9,1,0,986.0,1,0
32.0,4,2,0,66.0,1,0
55.0,4,0,621,114.0,1,0
55.0,5,1,138,205.0,1,0
56.0,9,1,4063,31.0,4,0
40.0,1,1,11084,113.0,1,0
44.0,9,1,310,200.0,1,0
32.0,2,3,73,158.0,1,0
33.0,4,2,1808,99.0,4,0
41.0,10,1,1281,45.0,3,0
37.0,9,1,64,239.0,4,0
58.0,4,2,2,168.0,3,0
52.0,1,1,60,196.0,2,0
49.0,7,1,133,319.0,6,0
44.0,3,0,3706,209.0,3,0
28.0,0,3,174,184.0,1,0
31.0,9,1,251,156.0,2,0
37.0,6,1,4153,35.0,16,0
30.0,9,2,985,88.0,2,0
28.0,7,1,168,347.0,3,1
46.0,7,1,1550,126.0,2,0
47.0,4,2,7708,157.0,5,0
35.0,1,0,-12,212.0,5,0
80.0,4,0,6483,123.0,1,0
30.0,9,2,60,306.0,5,0
55.0,9,1,3339,63.0,1,0
22.0,8,2,1161,119.0,1,0
33.0,1,0,599,29.0,1,0
53.0,2,3,28,117.0,2,0
49.0,4,2,1430,231.0,2,0
51.0,5,1,35,123.0,4,0
41.0,6,2,6000,265.0,1,0
34.0,9,1,0,144.0,1,0
36.0,1,1,340,559.0,3,0
35.0,2,2,0,74.0,1,0
29.0,7,1,3,183.0,1,0
40.0,9,2,445,631.0,1,0
32.0,4,2,874,1282.0,6,1
48.0,1,1,705,108.0,2,0
59.0,5,3,1033,1199.0,1,1
35.0,6,2,1354,736.0,2,1
33.0,9,2,123,264.0,1,0
55.0,5,0,8894,262.0,1,0
41.0,1,1,429,244.0,1,0
42.0,3,0,14752,107.0,2,0
46.0,1,0,67,9.0,1,0
35.0,3,1,39,149.0,2,0
28.0,9,2,102,321.0,2,0
25.0,8,1,1790,224.0,1,0
56.0,4,2,15311,157.0,6,0
30.0,0,1,-635,250.0,1,0
45.0,1,1,115,209.0,4,0
40.0,4,2,10786,111.0,3,0
40.0,1,1,498,55.0,2,0
39.0,1,1,1045,290.0,13,0
48.0,2,2,810,383.0,1,0
31.0,9,2,-162,380.0,1,0
32.0,4,2,55,124.0,3,0
34.0,7,1,586,224.0,2,0
26.0,9,1,455,240.0,1,0
31.0,4,2,1010,385.0,3,0
37.0,4,2,509,133.0,1,0
29.0,8,3,2929,91.0,1,0
57.0,9,1,3071,63.0,3,0
47.0,4,2,153,192.0,2,0
38.0,6,1,1146,91.0,2,0
48.0,1,0,1092,79.0,1,0
50.0,4,2,3463,96.0,1,1
33.0,0,1,1158,25.0,2,0
28.0,0,1,26,227.0,2,0
30.0,7,1,566,110.0,1,0
52.0,9,1,204,134.0,2,0
36.0,9,1,480,213.0,1,1
36.0,9,1,1855,75.0,1,0
46.0,7,1,1034,109.0,2,0
57.0,4,2,3250,162.0,3,0
28.0,4,1,1633,275.0,1,1
46.0,7,1,0,154.0,1,0
55.0,5,0,3334,632.0,4,1
33.0,4,2,4020,251.0,1,0
53.0,4,1,66,141.0,1,0
41.0,9,1,-41,154.0,1,0
60.0,1,1,322,63.0,1,0
35.0,2,0,2643,259.0,1,0
43.0,1,0,49,100.0,1,0
57.0,0,0,1,17.0,10,0
46.0,0,1,3098,192.0,9,0
31.0,1,0,352,97.0,9,0
53.0,9,1,65,41.0,2,0
35.0,1,1,1949,200.0,3,0
32.0,0,1,739,91.0,3,0
